id,name,host_id,host_name,host_is_superhost,neighbourhood,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,latitude,longitude,calculated_host_listings_count,instant_bookable
10000001,Charming Entire home/apt in Lichtenberg,20000103,Host_103,f,Lichtenberg,Entire home/apt,64,2,14,3.96,130,52.53703860833745,13.527026751848988,1,f
10000002,Charming Entire home/apt in Prenzlauer Berg,20000492,Host_492,f,Prenzlauer Berg,Entire home/apt,141,2,12,4.47,169,52.53606582307188,13.414714053696446,1,f
10000003,Charming Entire home/apt in Kreuzberg,20000271,Host_271,f,Kreuzberg,Entire home/apt,164,2,20,3.81,88,52.50002464602387,13.391280217236586,4,f
10000004,Charming Entire home/apt in Prenzlauer Berg,20000265,Host_265,t,Prenzlauer Berg,Entire home/apt,153,1,84,4.7,359,52.534682933877704,13.449484172767633,2,t
10000005,Charming Private room in Neukölln,20000054,Host_54,f,Neukölln,Private room,55,1,29,4.37,189,52.45921665753176,13.419341553876478,1,t
10000006,Charming Entire home/apt in Pankow,20000338,Host_338,f,Pankow,Entire home/apt,83,3,2,4.89,343,52.55543321902638,13.388991131009295,1,t
10000007,Charming Private room in Mitte,20000063,Host_63,f,Mitte,Private room,103,2,86,4.74,267,52.529305844007716,13.415166511145099,1,t
10000008,Charming Private room in Charlottenburg,20000407,Host_407,f,Charlottenburg,Private room,72,1,43,4.64,217,52.52392525822394,13.313943600428562,1,t
10000009,Charming Entire home/apt in Wedding,20000283,Host_283,f,Wedding,Entire home/apt,81,5,10,4.25,170,52.55097047068238,13.355514889743011,1,f
10000010,Charming Entire home/apt in Neukölln,20000327,Host_327,f,Neukölln,Entire home/apt,70,2,8,4.26,330,52.48393059245646,13.448449455755664,1,t
10000011,Charming Entire home/apt in Mitte,20000473,Host_473,f,Mitte,Entire home/apt,145,1,6,4.39,317,52.52849921204063,13.385330136613733,1,t
10000012,Charming Private room in Lichtenberg,20000172,Host_172,f,Lichtenberg,Private room,40,7,114,4.08,112,52.53444938830095,13.476165276002066,1,f
10000013,Charming Entire home/apt in Prenzlauer Berg,20000187,Host_187,f,Prenzlauer Berg,Entire home/apt,152,2,26,4.29,197,52.53628233976774,13.420437523722281,1,f
10000014,Charming Private room in Mitte,20000203,Host_203,f,Mitte,Private room,88,2,3,4.72,123,52.51198172156651,13.42576023578399,1,f
